trialNumber,classNumber,className,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,5,R,1.0,4,1,1681843306.4494772,18/04/2023 15:41:46
2,3,AM,1.0,4,1,1681843312.4953227,18/04/2023 15:41:52
3,4,AP,1.0,4,1,1681843318.5128067,18/04/2023 15:41:58
4,5,R,1.0,4,1,1681843324.5286162,18/04/2023 15:42:04
5,2,MD,1.0,4,1,1681843330.5656507,18/04/2023 15:42:10
6,4,AP,1.0,4,1,1681843336.5901408,18/04/2023 15:42:16
7,3,AM,1.0,4,1,1681843342.5851696,18/04/2023 15:42:22
8,5,R,1.0,4,1,1681843348.601413,18/04/2023 15:42:28
9,3,AM,1.0,4,1,1681843354.604527,18/04/2023 15:42:34
10,4,AP,1.0,4,1,1681843360.6143541,18/04/2023 15:42:40
11,1,MI,1.0,4,1,1681843366.6242769,18/04/2023 15:42:46
12,5,R,1.0,4,1,1681843372.6344132,18/04/2023 15:42:52
13,2,MD,1.0,4,1,1681843378.6683788,18/04/2023 15:42:58
14,4,AP,1.0,4,1,1681843384.6890194,18/04/2023 15:43:04
15,2,MD,1.0,4,1,1681843390.695602,18/04/2023 15:43:10
16,4,AP,1.0,4,1,1681843396.7098818,18/04/2023 15:43:16
17,2,MD,1.0,4,1,1681843402.7268174,18/04/2023 15:43:22
18,2,MD,1.0,4,1,1681843408.7500823,18/04/2023 15:43:28
19,5,R,1.0,4,1,1681843414.7739022,18/04/2023 15:43:34
20,4,AP,1.0,4,1,1681843420.7929022,18/04/2023 15:43:40
21,4,AP,1.0,4,1,1681843426.8026252,18/04/2023 15:43:46
22,5,R,1.0,4,1,1681843432.818421,18/04/2023 15:43:52
23,2,MD,1.0,4,1,1681843438.8328161,18/04/2023 15:43:58
24,2,MD,1.0,4,1,1681843444.8545213,18/04/2023 15:44:04
25,4,AP,1.0,4,1,1681843450.862984,18/04/2023 15:44:10
26,4,AP,1.0,4,1,1681843456.8875077,18/04/2023 15:44:16
27,1,MI,1.0,4,1,1681843462.9030097,18/04/2023 15:44:22
28,4,AP,1.0,4,1,1681843468.9224827,18/04/2023 15:44:28
29,2,MD,1.0,4,1,1681843474.963517,18/04/2023 15:44:34
30,3,AM,1.0,4,1,1681843480.976707,18/04/2023 15:44:40
31,2,MD,1.0,4,1,1681843486.9913116,18/04/2023 15:44:46
32,4,AP,1.0,4,1,1681843493.0212274,18/04/2023 15:44:53
33,2,MD,1.0,4,1,1681843499.0321913,18/04/2023 15:44:59
34,2,MD,1.0,4,1,1681843505.0527854,18/04/2023 15:45:05
35,4,AP,1.0,4,1,1681843511.0790713,18/04/2023 15:45:11
36,5,R,1.0,4,1,1681843517.1053133,18/04/2023 15:45:17
37,5,R,1.0,4,1,1681843523.1200373,18/04/2023 15:45:23
38,2,MD,1.0,4,1,1681843529.154867,18/04/2023 15:45:29
39,3,AM,1.0,4,1,1681843535.1648588,18/04/2023 15:45:35
40,5,R,1.0,4,1,1681843541.206635,18/04/2023 15:45:41
41,4,AP,1.0,4,1,1681843547.215343,18/04/2023 15:45:47
42,4,AP,1.0,4,1,1681843553.2243464,18/04/2023 15:45:53
43,3,AM,1.0,4,1,1681843559.225255,18/04/2023 15:45:59
44,3,AM,1.0,4,1,1681843565.2330945,18/04/2023 15:46:05
45,1,MI,1.0,4,1,1681843571.2449164,18/04/2023 15:46:11
46,1,MI,1.0,4,1,1681843577.245429,18/04/2023 15:46:17
47,2,MD,1.0,4,1,1681843583.2600183,18/04/2023 15:46:23
48,5,R,1.0,4,1,1681843589.2750738,18/04/2023 15:46:29
49,3,AM,1.0,4,1,1681843595.2771068,18/04/2023 15:46:35
50,1,MI,1.0,4,1,1681843601.3062434,18/04/2023 15:46:41
51,3,AM,1.0,4,1,1681843607.325102,18/04/2023 15:46:47
52,2,MD,1.0,4,1,1681843613.3482,18/04/2023 15:46:53
53,1,MI,1.0,4,1,1681843619.3976617,18/04/2023 15:46:59
54,5,R,1.0,4,1,1681843625.406544,18/04/2023 15:47:05
55,3,AM,1.0,4,1,1681843631.4319167,18/04/2023 15:47:11
56,4,AP,1.0,4,1,1681843637.451047,18/04/2023 15:47:17
57,4,AP,1.0,4,1,1681843643.4891298,18/04/2023 15:47:23
58,3,AM,1.0,4,1,1681843649.5258853,18/04/2023 15:47:29
59,1,MI,1.0,4,1,1681843655.546239,18/04/2023 15:47:35
60,1,MI,1.0,4,1,1681843661.5900333,18/04/2023 15:47:41
61,2,MD,1.0,4,1,1681843667.6036673,18/04/2023 15:47:47
62,1,MI,1.0,4,1,1681843673.6201634,18/04/2023 15:47:53
63,3,AM,1.0,4,1,1681843679.645067,18/04/2023 15:47:59
64,4,AP,1.0,4,1,1681843685.685258,18/04/2023 15:48:05
65,5,R,1.0,4,1,1681843691.7236,18/04/2023 15:48:11
66,3,AM,1.0,4,1,1681843697.7540915,18/04/2023 15:48:17
67,4,AP,1.0,4,1,1681843703.8015764,18/04/2023 15:48:23
68,2,MD,1.0,4,1,1681843709.8066945,18/04/2023 15:48:29
69,5,R,1.0,4,1,1681843715.8370502,18/04/2023 15:48:35
70,3,AM,1.0,4,1,1681843721.8616338,18/04/2023 15:48:41
71,5,R,1.0,4,1,1681843727.9049437,18/04/2023 15:48:47
72,4,AP,1.0,4,1,1681843733.9418159,18/04/2023 15:48:53
73,3,AM,1.0,4,1,1681843739.9529579,18/04/2023 15:48:59
74,5,R,1.0,4,1,1681843746.001136,18/04/2023 15:49:06
75,3,AM,1.0,4,1,1681843752.0495844,18/04/2023 15:49:12
76,5,R,1.0,4,1,1681843758.0716972,18/04/2023 15:49:18
77,1,MI,1.0,4,1,1681843764.104256,18/04/2023 15:49:24
78,1,MI,1.0,4,1,1681843770.1139777,18/04/2023 15:49:30
79,2,MD,1.0,4,1,1681843776.1399693,18/04/2023 15:49:36
80,2,MD,1.0,4,1,1681843782.1750345,18/04/2023 15:49:42
81,5,R,1.0,4,1,1681843788.1927722,18/04/2023 15:49:48
82,4,AP,1.0,4,1,1681843794.216252,18/04/2023 15:49:54
83,4,AP,1.0,4,1,1681843800.2619672,18/04/2023 15:50:00
84,5,R,1.0,4,1,1681843806.300187,18/04/2023 15:50:06
85,1,MI,1.0,4,1,1681843812.3139443,18/04/2023 15:50:12
86,3,AM,1.0,4,1,1681843818.354456,18/04/2023 15:50:18
87,5,R,1.0,4,1,1681843824.3901,18/04/2023 15:50:24
88,2,MD,1.0,4,1,1681843830.4188275,18/04/2023 15:50:30
89,5,R,1.0,4,1,1681843836.462572,18/04/2023 15:50:36
90,2,MD,1.0,4,1,1681843842.4880323,18/04/2023 15:50:42
91,3,AM,1.0,4,1,1681843848.5337613,18/04/2023 15:50:48
92,5,R,1.0,4,1,1681843854.5727477,18/04/2023 15:50:54
93,4,AP,1.0,4,1,1681843860.610528,18/04/2023 15:51:00
94,1,MI,1.0,4,1,1681843866.6342032,18/04/2023 15:51:06
95,5,R,1.0,4,1,1681843872.6728451,18/04/2023 15:51:12
96,3,AM,1.0,4,1,1681843878.7171922,18/04/2023 15:51:18
97,2,MD,1.0,4,1,1681843884.7624972,18/04/2023 15:51:24
98,3,AM,1.0,4,1,1681843890.7962644,18/04/2023 15:51:30
99,2,MD,1.0,4,1,1681843896.809002,18/04/2023 15:51:36
100,2,MD,1.0,4,1,1681843902.863992,18/04/2023 15:51:42
101,1,MI,1.0,4,1,1681843908.9070468,18/04/2023 15:51:48
102,1,MI,1.0,4,1,1681843914.9489462,18/04/2023 15:51:54
103,5,R,1.0,4,1,1681843920.9769378,18/04/2023 15:52:00
104,1,MI,1.0,4,1,1681843927.0005777,18/04/2023 15:52:07
105,3,AM,1.0,4,1,1681843933.04976,18/04/2023 15:52:13
106,3,AM,1.0,4,1,1681843939.0876675,18/04/2023 15:52:19
107,4,AP,1.0,4,1,1681843945.111057,18/04/2023 15:52:25
108,5,R,1.0,4,1,1681843951.1361885,18/04/2023 15:52:31
109,4,AP,1.0,4,1,1681843957.1762369,18/04/2023 15:52:37
110,4,AP,1.0,4,1,1681843963.2310493,18/04/2023 15:52:43
111,3,AM,1.0,4,1,1681843969.2654958,18/04/2023 15:52:49
112,1,MI,1.0,4,1,1681843975.294777,18/04/2023 15:52:55
113,2,MD,1.0,4,1,1681843981.325224,18/04/2023 15:53:01
114,2,MD,1.0,4,1,1681843987.344415,18/04/2023 15:53:07
115,2,MD,1.0,4,1,1681843993.3971608,18/04/2023 15:53:13
116,1,MI,1.0,4,1,1681843999.4314585,18/04/2023 15:53:19
117,1,MI,1.0,4,1,1681844005.4707727,18/04/2023 15:53:25
118,3,AM,1.0,4,1,1681844011.5006895,18/04/2023 15:53:31
119,1,MI,1.0,4,1,1681844017.5194619,18/04/2023 15:53:37
120,3,AM,1.0,4,1,1681844023.5331168,18/04/2023 15:53:43
121,5,R,1.0,4,1,1681844029.5711923,18/04/2023 15:53:49
122,1,MI,1.0,4,1,1681844035.613508,18/04/2023 15:53:55
123,1,MI,1.0,4,1,1681844041.6430643,18/04/2023 15:54:01
124,4,AP,1.0,4,1,1681844047.6745105,18/04/2023 15:54:07
125,3,AM,1.0,4,1,1681844053.7121463,18/04/2023 15:54:13
126,4,AP,1.0,4,1,1681844059.7380486,18/04/2023 15:54:19
127,1,MI,1.0,4,1,1681844065.769272,18/04/2023 15:54:25
128,5,R,1.0,4,1,1681844071.7930224,18/04/2023 15:54:31
129,1,MI,1.0,4,1,1681844077.843812,18/04/2023 15:54:37
130,5,R,1.0,4,1,1681844083.882485,18/04/2023 15:54:43
131,4,AP,1.0,4,1,1681844089.934769,18/04/2023 15:54:49
132,2,MD,1.0,4,1,1681844095.9768782,18/04/2023 15:54:55
133,5,R,1.0,4,1,1681844101.9816818,18/04/2023 15:55:01
134,1,MI,1.0,4,1,1681844108.0294342,18/04/2023 15:55:08
135,3,AM,1.0,4,1,1681844114.0543206,18/04/2023 15:55:14
136,1,MI,1.0,4,1,1681844120.087095,18/04/2023 15:55:20
137,3,AM,1.0,4,1,1681844126.1327395,18/04/2023 15:55:26
138,1,MI,1.0,4,1,1681844132.1647022,18/04/2023 15:55:32
139,2,MD,1.0,4,1,1681844138.2101793,18/04/2023 15:55:38
140,3,AM,1.0,4,1,1681844144.2436023,18/04/2023 15:55:44
141,4,AP,1.0,4,1,1681844150.2620804,18/04/2023 15:55:50
142,1,MI,1.0,4,1,1681844156.2924564,18/04/2023 15:55:56
143,2,MD,1.0,4,1,1681844162.3160582,18/04/2023 15:56:02
144,1,MI,1.0,4,1,1681844168.363445,18/04/2023 15:56:08
145,5,R,1.0,4,1,1681844174.387439,18/04/2023 15:56:14
146,3,AM,1.0,4,1,1681844180.4350529,18/04/2023 15:56:20
147,4,AP,1.0,4,1,1681844186.4887974,18/04/2023 15:56:26
148,5,R,1.0,4,1,1681844192.5182436,18/04/2023 15:56:32
149,1,MI,1.0,4,1,1681844198.550934,18/04/2023 15:56:38
150,2,MD,1.0,4,1,1681844204.5958629,18/04/2023 15:56:44
