trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Morder,-1,-1,2.4,4.0,3.0,1685112661.2041068,26/05/2023 11:51:01
2,2,Rest,-1,-1,2.5,4.0,3.0,1685112670.7225218,26/05/2023 11:51:10
3,1,Morder,-1,-1,2.8,4.0,3.0,1685112680.5694563,26/05/2023 11:51:20
4,2,Rest,-1,-1,2.5,4.0,3.0,1685112690.174886,26/05/2023 11:51:30
5,1,Morder,-1,-1,2.1,4.0,3.0,1685112699.4040582,26/05/2023 11:51:39
6,2,Rest,-1,-1,2.3,4.0,3.0,1685112708.786082,26/05/2023 11:51:48
7,1,Morder,-1,-1,2.6,4.0,3.0,1685112718.4135282,26/05/2023 11:51:58
8,2,Rest,-1,-1,2.1,4.0,3.0,1685112727.7036867,26/05/2023 11:52:07
9,1,Morder,-1,-1,2.9,4.0,3.0,1685112737.7655382,26/05/2023 11:52:17
10,2,Rest,-1,-1,2.8,4.0,3.0,1685112747.7378802,26/05/2023 11:52:27
