Clasificador	Accuracy	Precision	Recall	F1-Score
LDA	13.0	11.67	13.0	12.38
SVM	20.0	10.0	20.0	12.99
LDA	47.0	65.0	47.0	48.25
SVM	40.0	45.67	40.0	38.81
LDA	20.0	15.0	20.0	17.14
SVM	20.0	16.67	20.0	18.1
LDA	53.0	58.67	53.0	51.1
SVM	20.0	23.33	20.0	21.33
LDA	53.0	55.0	53.0	49.05
SVM	33.0	44.67	33.0	34.67
LDA	20.0	18.33	20.0	18.16
SVM	33.0	25.33	33.0	28.33
LDA	47.0	55.67	47.0	46.81
SVM	33.0	28.33	33.0	30.48
Avg-std(LDA)	36.14 +- 17.61	39.91 +- 23.6	36.14 +- 17.61	34.7 +- 17.73
Avg-std(SVM)	28.43 +- 8.26	27.71 +- 13.36	28.43 +- 8.26	26.39 +- 9.28
