Clasificador	Accuracy	Precision	Recall	F1-Score
LDA	44.0	57.78	44.0	44.44
SVM	44.0	33.33	44.0	37.04
LDA	78.0	80.56	78.0	77.46
SVM	56.00000000000001	63.33	56.0	56.67
LDA	44.0	57.78	44.0	44.44
SVM	56.00000000000001	80.95	56.0	53.33
LDA	22.0	16.67	22.0	19.05
SVM	67.0	66.67	67.0	65.71
LDA	56.00000000000001	61.11	56.0	56.83
SVM	56.00000000000001	80.95	56.0	53.33
LDA	44.0	36.67	44.0	38.33
SVM	44.0	44.44	44.0	43.49
LDA	56.00000000000001	38.89	56.0	44.44
SVM	33.0	11.11	33.0	16.67
Avg-std(LDA)	49.14 +- 17.04	49.92 +- 20.78	49.14 +- 17.04	46.43 +- 17.79
Avg-std(SVM)	50.86 +- 11.2	54.4 +- 26.0	50.86 +- 11.2	46.61 +- 16.09
