trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852006.9492836,07/03/2024 19:53:26
2,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852016.9822943,07/03/2024 19:53:36
3,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852027.0434713,07/03/2024 19:53:47
4,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852037.0875967,07/03/2024 19:53:57
5,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852047.1882854,07/03/2024 19:54:07
6,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852057.3005335,07/03/2024 19:54:17
7,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852067.3472426,07/03/2024 19:54:27
8,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852077.3722124,07/03/2024 19:54:37
9,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852087.4103076,07/03/2024 19:54:47
10,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852097.507728,07/03/2024 19:54:57
11,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852107.566236,07/03/2024 19:55:07
12,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852117.6363804,07/03/2024 19:55:17
13,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852127.7095277,07/03/2024 19:55:27
14,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852137.732284,07/03/2024 19:55:37
15,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852147.803387,07/03/2024 19:55:47
16,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852157.9292274,07/03/2024 19:55:57
17,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852167.9679048,07/03/2024 19:56:07
18,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1709852177.991467,07/03/2024 19:56:17
19,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852188.01782,07/03/2024 19:56:28
20,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1709852198.0847607,07/03/2024 19:56:38
