trialNumber,classNumber,className,prediction,probabilities,startingTime,cueDuration,finishDuration,trialTime,trialTime(legible)
1,5,Rest,-1,-1,3.0,4.0,3.0,1691528990.0331187,08/08/2023 18:09:50
2,4,Pies,-1,-1,3.0,4.0,3.0,1691529000.0349822,08/08/2023 18:10:00
3,5,Rest,-1,-1,3.0,4.0,3.0,1691529010.0396028,08/08/2023 18:10:10
4,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529020.0486994,08/08/2023 18:10:20
5,4,Pies,-1,-1,3.0,4.0,3.0,1691529030.0481408,08/08/2023 18:10:30
6,4,Pies,-1,-1,3.0,4.0,3.0,1691529040.0477874,08/08/2023 18:10:40
7,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529050.049646,08/08/2023 18:10:50
8,4,Pies,-1,-1,3.0,4.0,3.0,1691529060.0487108,08/08/2023 18:11:00
9,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691529070.0496473,08/08/2023 18:11:10
10,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529080.0506372,08/08/2023 18:11:20
11,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529090.0494204,08/08/2023 18:11:30
12,4,Pies,-1,-1,3.0,4.0,3.0,1691529100.0491524,08/08/2023 18:11:40
13,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529110.0493875,08/08/2023 18:11:50
14,4,Pies,-1,-1,3.0,4.0,3.0,1691529120.0504189,08/08/2023 18:12:00
15,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529130.0713108,08/08/2023 18:12:10
16,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529140.0816553,08/08/2023 18:12:20
17,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529150.0815008,08/08/2023 18:12:30
18,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691529160.0818152,08/08/2023 18:12:40
19,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529170.0824327,08/08/2023 18:12:50
20,4,Pies,-1,-1,3.0,4.0,3.0,1691529180.1001225,08/08/2023 18:13:00
21,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529190.1162922,08/08/2023 18:13:10
22,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529200.1298866,08/08/2023 18:13:20
23,4,Pies,-1,-1,3.0,4.0,3.0,1691529210.1476612,08/08/2023 18:13:30
24,5,Rest,-1,-1,3.0,4.0,3.0,1691529220.1623135,08/08/2023 18:13:40
25,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529230.1772864,08/08/2023 18:13:50
26,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691529240.1932783,08/08/2023 18:14:00
27,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529250.2110994,08/08/2023 18:14:10
28,5,Rest,-1,-1,3.0,4.0,3.0,1691529260.2236671,08/08/2023 18:14:20
29,4,Pies,-1,-1,3.0,4.0,3.0,1691529270.2402012,08/08/2023 18:14:30
30,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529280.2632947,08/08/2023 18:14:40
31,5,Rest,-1,-1,3.0,4.0,3.0,1691529290.273644,08/08/2023 18:14:50
32,4,Pies,-1,-1,3.0,4.0,3.0,1691529300.2943006,08/08/2023 18:15:00
33,5,Rest,-1,-1,3.0,4.0,3.0,1691529310.3041909,08/08/2023 18:15:10
34,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529320.3250742,08/08/2023 18:15:20
35,5,Rest,-1,-1,3.0,4.0,3.0,1691529330.335458,08/08/2023 18:15:30
36,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529340.3561893,08/08/2023 18:15:40
37,5,Rest,-1,-1,3.0,4.0,3.0,1691529350.3682163,08/08/2023 18:15:50
38,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691529360.3846538,08/08/2023 18:16:00
39,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691529370.403852,08/08/2023 18:16:10
40,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529380.4138417,08/08/2023 18:16:20
41,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529390.43627,08/08/2023 18:16:30
42,2,Mano Derecha,-1,-1,3.0,4.0,3.0,1691529400.4458234,08/08/2023 18:16:40
43,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529410.4663131,08/08/2023 18:16:50
44,5,Rest,-1,-1,3.0,4.0,3.0,1691529420.4771485,08/08/2023 18:17:00
45,5,Rest,-1,-1,3.0,4.0,3.0,1691529430.4961967,08/08/2023 18:17:10
46,1,Mano Izquierda,-1,-1,3.0,4.0,3.0,1691529440.5181496,08/08/2023 18:17:20
47,3,Ambas Manos,-1,-1,3.0,4.0,3.0,1691529450.5249016,08/08/2023 18:17:30
48,4,Pies,-1,-1,3.0,4.0,3.0,1691529460.5419133,08/08/2023 18:17:40
